playerId,position,season,team,league,gamesPlayed,goals,assists,points,pim,plusMinus,avgToi,faceoffPct,gameWinningGoals,otGoals,powerPlayGoals,powerPlayPoints,shGoals,shPoints,shots
8482947,C,2025-2026,Colorado Avalanche,NHL,59,1,9,10,14,6,428,0.423313,0,0,0,0,0,0,34
8479525,C,2025-2026,Colorado Avalanche,NHL,72,9,15,24,13,9,749,0.476636,2,0,0,0,0,0,151
8480835,C,2025-2026,Colorado Avalanche,NHL,81,10,17,27,31,15,868,0.580273,0,0,0,0,0,0,97
8475172,C,2025-2026,Calgary Flames,NHL,61,12,29,41,24,-27,1162,0.477044,1,0,2,13,0,0,175
8475172,C,2025-2026,Colorado Avalanche,NHL,16,4,5,9,6,-3,1068,0.395833,1,0,3,6,0,0,38
8480448,C,2025-2026,Colorado Avalanche,NHL,81,20,14,34,30,16,761,0.361257,2,0,0,0,1,1,101
8481641,L,2025-2026,Colorado Avalanche,NHL,50,3,6,9,8,7,618,0.333333,0,0,0,0,0,0,44
8476455,L,2025-2026,Colorado Avalanche,NHL,60,14,21,35,47,29,985,0.623077,2,0,2,5,0,0,132
8477476,L,2025-2026,Colorado Avalanche,NHL,69,21,27,48,16,32,1110,0.166667,0,0,1,2,0,0,151
8477492,C,2025-2026,Colorado Avalanche,NHL,80,53,74,127,39,57,1336,0.510495,7,1,11,30,0,0,350
8480039,C,2025-2026,Colorado Avalanche,NHL,78,38,62,100,30,47,1290,0.428571,5,0,9,24,0,0,206
8475754,C,2025-2026,Colorado Avalanche,NHL,80,33,32,65,36,13,1179,0.502432,9,1,10,18,0,1,185
8477501,R,2025-2026,Colorado Avalanche,NHL,71,17,30,47,26,7,1063,0.5,1,0,1,4,1,1,160
8481186,R,2025-2026,Colorado Avalanche,NHL,12,0,2,2,2,-1,675,0.0,0,0,0,0,0,0,12
8478462,C,2025-2026,Toronto Maple Leafs,NHL,59,5,15,20,10,0,885,0.529134,0,0,1,1,0,1,55
8478462,C,2025-2026,Colorado Avalanche,NHL,14,3,2,5,13,0,783,0.468354,0,0,1,1,0,0,21
8483565,D,2025-2026,Nashville Predators,NHL,49,6,15,21,10,-11,1078,0.0,0,0,3,7,0,0,59
8483565,D,2025-2026,Colorado Avalanche,NHL,11,1,1,2,0,0,704,0.0,0,0,0,0,0,0,10
8470613,D,2025-2026,Colorado Avalanche,NHL,81,12,22,34,30,32,1134,0.0,5,0,0,1,0,0,171
8476967,D,2025-2026,Edmonton Oilers,NHL,31,0,2,2,10,-7,1062,0.0,0,0,0,0,0,0,33
8476967,D,2025-2026,Pittsburgh Penguins,NHL,25,1,6,7,18,2,1220,0.0,0,0,0,0,0,0,29
8476967,D,2025-2026,Colorado Avalanche,NHL,26,0,3,3,10,1,1148,0.0,0,0,0,0,0,0,31
8480069,D,2025-2026,Colorado Avalanche,NHL,74,20,58,78,24,31,1494,0.0,4,0,4,29,0,0,196
8484258,D,2025-2026,Colorado Avalanche,NHL,81,8,32,40,20,43,1055,0.0,1,0,0,1,0,0,160
8476312,D,2025-2026,Colorado Avalanche,NHL,79,5,26,31,91,42,1067,0.0,2,0,0,0,0,0,128
8478038,D,2025-2026,Colorado Avalanche,NHL,67,3,21,24,32,36,1342,0.0,1,0,1,1,0,0,111
8478427,C,2025-2026,Carolina Hurricanes,NHL,79,27,53,80,46,11,1177,0.504657,4,2,7,27,2,6,195
8482809,R,2025-2026,Carolina Hurricanes,NHL,81,22,31,53,40,4,990,0.0,3,1,3,12,0,0,174
8477478,L,2025-2026,Carolina Hurricanes,NHL,70,7,11,18,18,5,645,0.388889,2,0,0,0,0,0,80
8475235,L,2025-2026,Philadelphia Flyers,NHL,24,0,1,1,33,-3,485,1.0,0,0,0,0,0,0,13
8475235,L,2025-2026,Carolina Hurricanes,NHL,7,0,1,1,5,0,609,0.0,0,0,0,0,0,0,5
8477940,L,2025-2026,Carolina Hurricanes,NHL,82,26,45,71,14,8,996,0.354839,6,1,10,29,0,0,207
8475791,L,2025-2026,Carolina Hurricanes,NHL,80,18,30,48,44,6,872,0.408163,1,0,3,7,0,0,137
8476873,L,2025-2026,Carolina Hurricanes,NHL,68,11,10,21,16,7,669,0.513514,3,0,0,2,0,0,63
8482093,C,2025-2026,Carolina Hurricanes,NHL,71,32,34,66,23,6,1133,0.405063,7,2,5,21,4,6,224
8480829,C,2025-2026,Carolina Hurricanes,NHL,42,2,7,9,8,3,681,0.485185,0,0,0,0,0,0,42
8476921,L,2025-2026,Carolina Hurricanes,NHL,77,12,17,29,35,6,890,0.438356,3,0,0,0,3,3,109
8480762,L,2025-2026,Carolina Hurricanes,NHL,67,12,6,18,8,7,686,0.076923,3,0,0,0,0,1,84
8473533,C,2025-2026,Carolina Hurricanes,NHL,75,20,16,36,29,5,971,0.554894,4,0,4,4,0,1,107
8482702,C,2025-2026,Carolina Hurricanes,NHL,81,21,23,44,25,12,927,0.44312,3,0,4,9,0,0,166
8480830,R,2025-2026,Carolina Hurricanes,NHL,79,31,39,70,66,1,1019,0.454545,3,0,12,29,0,0,203
